iter	Passed	Remaining
0	1151	5757152
1	2334	5834571
2	3498	5827454
3	4616	5765414
4	5685	5680104
5	6827	5682701
6	7943	5666209
7	8996	5613960
8	10164	5636775
9	11353	5665492
10	12491	5665464
11	13632	5666380
12	14802	5678524
13	15961	5684427
14	17092	5680462
15	18246	5683636
16	19378	5680293
17	20511	5677185
18	21641	5673490
19	22791	5675183
20	23935	5674963
21	25060	5670494
22	26092	5646109
23	27231	5646100
24	28254	5622660
25	29271	5599932
26	30376	5594864
27	31495	5592729
28	32540	5577873
29	33679	5579536
30	34835	5583750
31	35873	5569337
32	36918	5556733
33	38055	5558276
34	39171	5556795
35	40298	5556730
36	41383	5550930
37	42613	5564445
38	43778	5568832
39	44938	5572321
40	45978	5561185
41	47031	5551970
42	48150	5550734
43	49189	5540504
44	50333	5542303
45	51389	5534447
46	52540	5536848
47	53723	5542477
48	54824	5539526
49	55981	5542147
50	57146	5545434
51	58282	5545844
52	59398	5544241
53	60426	5534586
54	61561	5534934
55	62604	5527105
56	63783	5531249
57	64942	5533583
58	66045	5531063
59	67258	5537584
60	68372	5535961
61	69514	5536518
62	70560	5529487
63	71590	5521452
64	72706	5520125
65	73858	5521472
66	75040	5524994
67	76085	5518443
68	77232	5519341
69	78289	5513813
70	79336	5507745
71	80373	5501104
72	81429	5495960
73	82534	5494110
74	83685	5495350
75	84791	5493593
76	85861	5489574
77	87016	5490984
78	88114	5488757
79	89250	5488889
80	90437	5492154
81	91572	5492094
82	92618	5486803
83	93786	5488726
84	94875	5486052
85	96033	5487301
86	97188	5488375
87	98347	5489598
88	99490	5489871
89	100655	5491342
90	101687	5485550
91	102871	5487951
92	103963	5485462
93	105079	5484246
94	106222	5484434
95	107264	5479449
96	108409	5479707
97	109547	5479594
98	110691	5479803
99	111726	5474588
100	112876	5475079
101	114031	5475754
102	115107	5472641
103	116285	5474341
104	117421	5474064
105	118557	5473762
106	119710	5474216
107	120797	5471690
108	121838	5467105
109	122875	5462386
110	124010	5462059
111	125060	5457991
112	126120	5454416
113	127263	5454453
114	128379	5453344
115	129529	5453624
116	130660	5453142
117	131796	5452819
118	132917	5451856
119	133962	5447798
120	135138	5449104
121	136257	5448057
122	137423	5448881
123	138602	5450203
124	139755	5450449
125	140901	5450422
126	142044	5450251
127	143104	5446897
128	144320	5449481
129	145440	5448433
130	146465	5443807
131	147586	5442818
132	148705	5441715
133	149743	5437696
134	150787	5433919
135	151926	5433620
136	153070	5433453
137	154216	5433340
138	155346	5432654
139	156492	5432513
140	157531	5428702
141	158706	5429551
142	159733	5425348
143	160894	5425735
144	162046	5425755
145	163212	5426254
146	164342	5425532
147	165432	5423511
148	166587	5423611
149	167692	5422053
150	168834	5421722
151	169967	5421068
152	171099	5420403
153	172143	5416931
154	173326	5417862
155	174530	5419398
156	175683	5419320
157	176719	5415667
158	177854	5415058
159	179010	5415053
160	180156	5414755
161	181276	5413683
162	182301	5409762
163	183428	5408909
164	184455	5405099
165	185500	5401873
166	186650	5401697
167	187811	5401810
168	189009	5402978
169	190177	5403279
170	191277	5401632
171	192323	5398464
172	193465	5398009
173	194591	5397131
174	195634	5393915
175	196678	5390790
176	197821	5390350
177	198981	5390395
178	200119	5389805
179	201149	5386341
180	202246	5384683
181	203412	5384832
182	204607	5385754
183	205749	5385266
184	206882	5384548
185	208017	5383843
186	209188	5384083
187	210211	5380531
188	211369	5380419
189	212538	5380580
190	213620	5378543
191	214670	5375714
192	215697	5372327
193	216843	5371917
194	217999	5371720
195	219150	5371415
196	220317	5371504
197	221431	5370279
198	222580	5369892
199	223714	5369138
200	224848	5368388
201	225992	5367872
202	227036	5365001
203	228198	5364909
204	229308	5363590
205	230421	5362326
206	231566	5361826
207	232583	5358356
208	233714	5357533
209	234880	5357507
210	236005	5356547
211	237062	5354030
212	238199	5353336
213	239320	5352289
214	240510	5352750
215	241631	5351691
216	242826	5352252
217	243978	5351866
218	245071	5350160
219	246207	5349410
220	247260	5346866
221	248433	5346913
222	249505	5344795
223	250561	5342336
224	251684	5341301
225	252712	5338261
226	253823	5336993
227	254943	5335916
228	256078	5335158
229	257229	5334716
230	258371	5334089
231	259485	5332873
232	260528	5330205
233	261656	5329300
234	262807	5328843
235	263858	5326369
236	264894	5323589
237	265921	5320674
238	266961	5318002
239	268087	5317066
240	269221	5316287
241	270331	5315020
242	271361	5312216
243	272396	5309495
244	273552	5309160
245	274709	5308814
246	275794	5307091
247	276941	5306565
248	278095	5306156
249	279109	5303089
250	280127	5300110
251	281248	5299082
252	282404	5298707
253	283531	5297802
254	284565	5295157
255	285706	5294501
256	286854	5293963
257	288002	5293434
258	289157	5293037
259	290226	5291047
260	291232	5287935
261	292323	5286361
262	293481	5286016
263	294623	5285363
264	295793	5285215
265	296843	5282929
266	297961	5281849
267	299142	5281882
268	300198	5279691
269	301331	5278875
270	302438	5277614
271	303600	5277289
272	304729	5276399
273	305858	5275494
274	307022	5275208
275	308176	5274728
276	309314	5273972
277	310351	5271507
278	311363	5268623
279	312533	5268418
280	313677	5267771
281	314817	5267052
282	315978	5266679
283	317122	5266013
284	318261	5265270
285	319426	5264950
286	320578	5264407
287	321733	5263918
288	322857	5262915
289	323880	5260263
290	324941	5258241
291	325959	5255532
292	327150	5255616
293	328239	5254072
294	329364	5253089
295	330533	5252801
296	331572	5250458
297	332707	5249639
298	333717	5246837
299	334839	5245814
300	335873	5243421
301	337037	5243045
302	338167	5242159
303	339295	5241215
304	340433	5240444
305	341432	5237525
306	342492	5235565
307	343621	5234649
308	344663	5232421
309	345804	5231687
310	346942	5230906
311	347953	5228230
312	349104	5227641
313	350234	5226740
314	351353	5225682
315	352479	5224725
316	353619	5223977
317	354777	5223479
318	355920	5222773
319	357055	5221940
320	358227	5221639
321	359369	5220898
322	360486	5219797
323	361600	5218653
324	362720	5217590
325	363852	5216710
326	364857	5214007
327	365885	5211635
328	366943	5209699
329	368112	5209348
330	369138	5206968
331	370219	5205369
332	371333	5204245
333	372365	5201975
334	373487	5200947
335	374655	5200579
336	375785	5199665
337	376903	5198586
338	378044	5197832
339	379227	5197648
340	380230	5194997
341	381325	5193615
342	382481	5193054
343	383654	5192716
344	384682	5190422
345	385819	5189609
346	386937	5188527
347	388106	5188134
348	389257	5187500
349	390408	5186853
350	391527	5185789
351	392638	5184612
352	393667	5182361
353	394708	5180273
354	395726	5177889
355	396858	5176991
356	398026	5176570
357	399082	5174692
358	400120	5172588
359	401232	5171440
360	402385	5170818
361	403413	5168600
362	404535	5167576
363	405685	5166917
364	406750	5165171
365	407852	5163906
366	408957	5162667
367	410087	5161748
368	411218	5160843
369	412217	5158289
370	413241	5156055
371	414363	5155035
372	415486	5154035
373	416605	5152987
374	417721	5151901
375	418853	5151009
376	419903	5149102
377	421030	5148157
378	422161	5147249
379	423222	5145499
380	424376	5144874
381	425408	5142766
382	426550	5141990
383	427622	5140379
384	428630	5138002
385	429667	5135972
386	430685	5133722
387	431794	5132569
388	432914	5131542
389	433903	5128958
390	435084	5128652
391	436121	5126649
392	437289	5126195
393	438321	5124128
394	439485	5123617
395	440656	5123192
396	441708	5121366
397	442765	5119614
398	443889	5118630
399	445017	5117698
400	446159	5116921
401	447358	5116799
402	448411	5115003
403	449552	5114216
404	450701	5113510
405	451821	5112486
406	452955	5111603
